"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"ANCHMEDGSA22","Anchovy Aegean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Aegean Sea","multinational-GFCM-GSA22","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20384.12226,2008,1.53634378642001,0.782322210978478,"Uses model estimated reference point","Uses scaled reference point","SSBdivSSBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",24500
"ANCHMEDGSA29","Anchovy Black Sea","multinational","Mediterranean-Black Sea","Black Sea","Black Sea","multinational-GFCM-GSA29","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",278390.5644,2014,0.776659651495832,1.88571428571429,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",157000
"ANCHMEDGSA6","Anchovy Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Spain","multinational-GFCM-GSA6","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12649.93968,2014,1.04093309859155,0.894991100940758,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",16800
"ANCHMEDGSA7","Anchovy Gulf of Lions","multinational","Mediterranean-Black Sea","Mediterranean Sea","Gulf of Lions","multinational-GFCM-GSA7","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12690.02444,2011,1.08931219861842,0.128043766469381,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",1770
"ANCHMEDGSA9","Anchovy Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4109.756567,2014,0.949894265233849,2.59615384615385,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3390
"ANCHOBAYB","Anchovy Bay of Biscay","multinational","European Union","Celtic-Biscay Shelf","Bay of Biscay","multinational-ICES-VIII","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",36069.55982,2014,0.946067415730337,0.965545121638209,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",20100
"ANCHOSA","Anchovy South Africa","South Africa","South Africa","Agulhas Current","South Africa","South Africa-DETMCM-SA","Engraulis encrasicolus","Anchovy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",455853.677,2014,1.79478012054366,0.244757389187506,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",240000
"ANGLMEDGSA5","Black bellied angler Balearic Island","multinational","Mediterranean-Black Sea","Mediterranean Sea","Balearic Island","multinational-GFCM-GSA5","Lophius budegassa","Black bellied angler","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19.0185877,2013,0.562552029220156,7.6375,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",11.1
"ANGLMEDGSA6","Black bellied angler Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Spain","multinational-GFCM-GSA6","Lophius budegassa","Black bellied angler","Estimated from Fox or Schaefer model","MSY-est-MT","MT",852.6034871,2013,1.31015605030041,6.49285714285714,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",1050
"APOLLNSJ","Walleye pollock Sea of Japan North","Japan","Japan","Sea of Japan","Sea of Japan North","Japan-FAJ-NSJ","Gadus chalcogrammus","Walleye pollock","Assessment","MSY-MT","MT",45206.50965,2013,0.108680924912147,1.4113306832156,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",9870
"APOLLPJPN","Walleye pollock Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Gadus chalcogrammus","Walleye pollock","Assessment","MSY-MT","MT",176347.6986,2013,1.51903403024479,0.985221674876845,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",156000
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Atheresthes stomias","Arrowtooth flounder","Estimated from Fox or Schaefer model","MSY-est-MT","MT",29647.06181,2010,2.64585671193106,0.0758620689655172,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",38900
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Atheresthes stomias","Arrowtooth flounder","Estimated from Fox or Schaefer model","MSY-est-MT","MT",22843.04134,2010,3.1961300911329,0.0460516350947431,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",24100
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Atheresthes stomias","Arrowtooth flounder","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1443.022043,2014,3.08291804418484,0.22,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1440
"ARGANCHONARG","Argentine anchoita Northern Argentina","Argentina","South America","Patagonian Shelf","Northern Argentina","Argentina-CFP-ARG-N","Engraulis anchoita","Argentine anchoita","Assessment","MSY-MT","MT",222163,2014,1.82022471910112,0.0255102040816327,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",13800
"ARGANCHOSARG","Argentine anchoita Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Engraulis anchoita","Argentine anchoita","Assessment","MSY-MT","MT",454000,2014,1.31895556232567,0.00563380281690141,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",1420
"ARGHAKENARG","Argentine hake Northern Argentina","Argentina","South America","Patagonian Shelf","Northern Argentina","Argentina-CFP-ARG-N","Merluccius hubbsi","Argentine hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",146012.6937,2014,0.229841730984044,0.965699208443272,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",41800
"ARGHAKESARG","Argentine hake Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Merluccius hubbsi","Argentine hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",522792.7514,2014,0.386946386946387,1.15942028985507,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",299000
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Eastern Atlantic","multinational-ICCAT-EATL","Thunnus thynnus","Atlantic bluefin tuna","Assessment","MSY-MT","MT",40252.1,2014,NA,0.34,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",3920
"ATBTUNAWATL","Atlantic bluefin tuna Western Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Western Atlantic","multinational-ICCAT-WATL","Thunnus thynnus","Atlantic bluefin tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2661.05624,2014,NA,0.88,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",1630
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Southern Grand Banks","Canada-DFO-3NOPs4VWX5Zc","Hippoglossus hippoglossus","Atlantic halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2132.880272,2010,NA,0.833333333333333,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",1850
"ATHAL5YZ","Atlantic halibut Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Hippoglossus hippoglossus","Atlantic halibut","Assessment","MSY-MT","MT",3500,2007,0.026530612244898,0.91000000546,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",84.2
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Pleurogrammus monopterygius","Atka mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",70235.77196,2010,1.96298137273899,0.664529914529915,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",68600
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Micropogonias undulatus","Atlantic croaker","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6648.211508,2002,2.77547352412554,0.282051282051282,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",16300
"ATOOTHFISHRS","Antarctic toothfish Ross Sea","multinational","Other","Southern Ocean","Ross Sea","multinational-CCAMLR-RS","Dissostichus mawsoni","Antarctic toothfish","Assessment","MSY-MT","MT",3105.3982,2007,4.03145161978301,0.246424908896197,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3080
"AUROCKPCOAST","Aurora rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes aurora","Aurora rockfish","Assessment","MSY-MT","MT",72,2012,1.59047619047619,0.614,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",42.7
"AUSSALMONNZ","Australian salmon New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Arripis trutta","Australian salmon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2406.263949,2013,1.53846153846154,0.31,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmgt-dimensionless","TC","MT",1680
"AWOLF5YZ","Atlantic wolffish Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Anarhichas lupus","Atlantic wolffish","Assessment","MSY-MT","MT",244,2014,NA,0.0123456790123457,NA,"Assessment",NA,"FdivFmsy-calc-dimensionless","TC","MT",1.22
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","Australia","Australia","South West Australian Shelf","New South Wales to Western Australia","Australia-AFMA-NSWWA","Macruronus novaezelandiae","Blue grenadier","Assessment","MSY-MT","MT",5506.026156,2014,1.41940013768987,0.156657969428613,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",1251
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes melanostomus","Blackgill rockfish","Assessment","MSY-MT","MT",222,2010,0.738791833298253,1.03181818181818,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",149
"BIGEYEATL","Bigeye tuna Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","Atlantic Ocean","multinational-ICCAT-ATL","Thunnus obesus","Bigeye tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",65286.94671,2014,0.744,1.21,"Assessment","Assessment","TBdivTBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",78200
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","multinational","Pacific Ocean","North Pacific Ocean","Central Western Pacific Ocean","multinational-WCPFC-CWPAC","Thunnus obesus","Bigeye tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3263.427693,2014,1.62,0.581,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",159000
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","multinational","Pacific Ocean","South Pacific Ocean","Eastern Pacific","multinational-IATTC-EPAC","Thunnus obesus","Bigeye tuna","Assessment","MSY-MT","MT",106201,2014,0.841,0.878,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",96000
"BIGEYEIO","Bigeye tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Thunnus obesus","Bigeye tuna","Assessment","MSY-MT","MT",104000,2014,1.36,0.687,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",105000
"BIGHTREDSE","Bight redfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Centroberyx gerrardi","Bight redfish","Assessment","MSY-MT","MT",624.7468834,2014,2.81851219706901,0.195186650810038,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",238
"BKCDLFENI","Black cardinalfish East coast of North Island","New Zealand","New Zealand","New Zealand Shelf","East coast of North Island","New Zealand-MFish-ENI","Epigonus telescopus","Black cardinalfish","Assessment","MSY-MT","MT",666,2009,0.25276505418389,1.07272727272727,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",980
"BKINGCRABSMI","Blue king crab Saint Matthews Island","USA","US Alaska","East Bering Sea","Saint Matthews Island","USA-NMFS-SMI","Paralithodes platypus","Blue king crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1150.867925,2008,1.45343631740423,0,"Assessment","Uses scaled reference point","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",0
"BLACKGROUPERGMSATL","Black grouper Gulf of Mexico and South Atlantic","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico and South Atlantic","USA-NMFS-GMSATL","Mycteroperca bonaci","Black grouper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",488.993336,2008,1.40023163406287,0.5,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",138
"BLACKOREOPR","Black oreo Pukaki Rise","New Zealand","New Zealand","New Zealand Shelf","Pukaki Rise","New Zealand-MFish-PR","Allocyttus niger","Black oreo","Assessment","MSY-MT","MT",670,2009,0.814622868403494,1.53333333333333,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3350
"BLACKOREOWECR","Black oreo West end of Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","West end of Chatham Rise","New Zealand-MFish-WECR","Allocyttus niger","Black oreo","Assessment","MSY-MT","MT",1947,2007,0.991723484157947,0.395275614021787,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1770
"BLACKROCKCAL","Black rockfish California","USA","US West Coast","California Current","California","USA-NMFS-CAL","Sebastes melanops","Black rockfish","Assessment","MSY-MT","MT",343,2014,0.774117647058824,1.068,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",380
"BLACKROCKORECOAST","Black rockfish Oregon Coast","USA","US West Coast","California Current","Oregon Coast","USA-NMFS-ORECOAST","Sebastes melanops","Black rockfish","Assessment","MSY-MT","MT",518,2014,1.52396085370698,0.834,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",485
"BLACKROCKWASH","Black rockfish Washington","USA","US West Coast","California Current","Washington","USA-NMFS-WASH","Sebastes melanops","Black rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",274.3377948,2014,1.0454850534359,1.072,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",356
"BLINGVb-VI-VII","Blue ling ICES 5b-6-7","multinational","European Union","Celtic-Biscay Shelf","ICES 5b-6-7","multinational-ICES-Vb-VI-VII","Molva dypterygia","Blue ling","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10230.15702,2014,1.17466666666667,0.334166666666667,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",2950
"BLKMARLINIO","Black marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Istiompax indica","Black marlin","Assessment","MSY-MT","MT",8605,2011,1.17,1.11533573235854,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",11200
"BLSHARNPAC","Blue shark North Pacific Ocean","Multinational","Pacific Ocean","North Pacific Ocean","North Pacific Ocean","multinational-ISC-NPAC","Prionace glauca","Blue shark","Assessment","MSY-MT","MT",72123,2011,1.62,0.358,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",41300
"BLTILESATLC","Blueline tilefish Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Caulolatilus microps","Blueline tilefish","Assessment","MSY-MT","MT",102.7512886,2011,0.817737631792376,1.30132450331126,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless",NA,NA,NA
"BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Southeast U.S. Continental Shelf","Atlantic Coast","USA-NMFS-ATLC","Pomatomus saltatrix","Bluefish","Assessment","MSY-MT","MT",13967,2014,0.777681878663646,0.923529411764706,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",9820
"BLUEROCKCAL","Blue rockfish California","USA","US West Coast","California Current","California","USA-NMFS-CAL","Sebastes mystinus","Blue rockfish","Assessment","MSY-MT","MT",275,2007,0.74849578820698,1.19106699751861,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",263
"BMACKECS","Spotted mackerel East China Sea","Japan","Japan","East China Sea","East China Sea","Japan-FAJ-ECS","Scomber australasicus","Spotted mackerel","Assessment","MSY-MT","MT",54757.32305,2013,0.883422830417461,0.968235744355146,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",50600
