"source","stockid","lme","comm_name","species","year","msy_mt","bbmsy","uumsy"
"RAM","ARFLOUNDBSAI","East Bering Sea","Arrowtooth flounder","Atheresthes stomias",2010,29647.06181,2.64585671193106,0.0758620689655172
"RAM","ARFLOUNDGA","Gulf of Alaska","Arrowtooth flounder","Atheresthes stomias",2010,22843.04134,3.1961300911329,0.0460516350947431
"RAM","ARFLOUNDPCOAST","California Current","Arrowtooth flounder","Atheresthes stomias",2014,1443.022043,3.08291804418484,0.22
"RAM","ARGANCHONARG","Patagonian Shelf","Argentine anchoita","Engraulis anchoita",2014,222163,1.82022471910112,0.0255102040816327
"RAM","ARGANCHOSARG","Patagonian Shelf","Argentine anchoita","Engraulis anchoita",2014,454000,1.31895556232567,0.00563380281690141
"RAM","ARGHAKENARG","Patagonian Shelf","Argentine hake","Merluccius hubbsi",2014,146012.6937,0.229841730984044,0.965699208443272
"RAM","ARGHAKESARG","Patagonian Shelf","Argentine hake","Merluccius hubbsi",2014,522792.7514,0.386946386946387,1.15942028985507
"RAM","ATBTUNAEATL","North Atlantic Ocean","Atlantic bluefin tuna","Thunnus thynnus",2014,40252.1,NA,0.34
"RAM","ATBTUNAWATL","North Atlantic Ocean","Atlantic bluefin tuna","Thunnus thynnus",2014,2661.05624,NA,0.88
"RAM","ATHAL3NOPs4VWX5Zc","Scotian Shelf","Atlantic halibut","Hippoglossus hippoglossus",2010,2132.880272,NA,0.833333333333333
"RAM","ATHAL5YZ","Northeast U.S. Continental Shelf","Atlantic halibut","Hippoglossus hippoglossus",2007,3500,0.026530612244898,0.91000000546
"RAM","ATKABSAI","East Bering Sea","Atka mackerel","Pleurogrammus monopterygius",2010,70235.77196,1.96298137273899,0.664529914529915
"RAM","ATLCROAKMATLC","Northeast U.S. Continental Shelf","Atlantic croaker","Micropogonias undulatus",2002,6648.211508,2.77547352412554,0.282051282051282
"RAM","ATOOTHFISHRS","Southern Ocean","Antarctic toothfish","Dissostichus mawsoni",2007,3105.3982,4.03145161978301,0.246424908896197
"RAM","AUROCKPCOAST","California Current","Aurora rockfish","Sebastes aurora",2012,72,1.59047619047619,0.614
"RAM","AUSSALMONNZ","New Zealand Shelf","Australian salmon","Arripis trutta",2013,2406.263949,1.53846153846154,0.31
"RAM","AWOLF5YZ","Northeast U.S. Continental Shelf","Atlantic wolffish","Anarhichas lupus",2014,244,NA,0.0123456790123457
"RAM","BGRDRNSWWA","South West Australian Shelf","Blue grenadier","Macruronus novaezelandiae",2014,5506.026156,1.41940013768987,0.156657969428613
"RAM","BGROCKPCOAST","California Current","Blackgill rockfish","Sebastes melanostomus",2010,222,0.738791833298253,1.03181818181818
"RAM","BIGEYEATL","North Atlantic Ocean","Bigeye tuna","Thunnus obesus",2014,65286.94671,0.744,1.21
"RAM","BIGEYECWPAC","North Pacific Ocean","Bigeye tuna","Thunnus obesus",2014,3263.427693,1.62,0.581
"RAM","BIGEYEEPAC","South Pacific Ocean","Bigeye tuna","Thunnus obesus",2014,106201,0.841,0.878
"RAM","BIGEYEIO","Indian Ocean","Bigeye tuna","Thunnus obesus",2014,104000,1.36,0.687
"RAM","BIGHTREDSE","Southeast Australian Shelf","Bight redfish","Centroberyx gerrardi",2014,624.7468834,2.81851219706901,0.195186650810038
"RAM","BKCDLFENI","New Zealand Shelf","Black cardinalfish","Epigonus telescopus",2009,666,0.25276505418389,1.07272727272727
"RAM","BKINGCRABSMI","East Bering Sea","Blue king crab","Paralithodes platypus",2008,1150.867925,1.45343631740423,0
"RAM","BLACKGROUPERGMSATL","Gulf of Mexico","Black grouper","Mycteroperca bonaci",2008,488.993336,1.40023163406287,0.5
"RAM","BLACKOREOPR","New Zealand Shelf","Black oreo","Allocyttus niger",2009,670,0.814622868403494,1.53333333333333
"RAM","BLACKOREOWECR","New Zealand Shelf","Black oreo","Allocyttus niger",2007,1947,0.991723484157947,0.395275614021787
"RAM","BLACKROCKCAL","California Current","Black rockfish","Sebastes melanops",2014,343,0.774117647058824,1.068
"RAM","BLACKROCKORECOAST","California Current","Black rockfish","Sebastes melanops",2014,518,1.52396085370698,0.834
"RAM","BLACKROCKWASH","California Current","Black rockfish","Sebastes melanops",2014,274.3377948,1.0454850534359,1.072
"RAM","BLINGVb-VI-VII","Celtic-Biscay Shelf","Blue ling","Molva dypterygia",2014,10230.15702,1.17466666666667,0.334166666666667
"RAM","BLKMARLINIO","Indian Ocean","Black marlin","Istiompax indica",2011,8605,1.17,1.11533573235854
"RAM","BLSHARNPAC","North Pacific Ocean","Blue shark","Prionace glauca",2011,72123,1.62,0.358
"RAM","BLTILESATLC","Southeast U.S. Continental Shelf","Blueline tilefish","Caulolatilus microps",2011,102.7512886,0.817737631792376,1.30132450331126
"RAM","BLUEFISHATLC","Southeast U.S. Continental Shelf","Bluefish","Pomatomus saltatrix",2014,13967,0.777681878663646,0.923529411764706
"RAM","BLUEROCKCAL","California Current","Blue rockfish","Sebastes mystinus",2007,275,0.74849578820698,1.19106699751861
"RAM","BMACKECS","East China Sea","Spotted mackerel","Scomber australasicus",2013,54757.32305,0.883422830417461,0.968235744355146
"RAM","BMACKPJPN","Kuroshio Current","Spotted mackerel","Scomber australasicus",2013,145655.7838,3.36549981484305,0.345953635746386
"RAM","BMARLINATL","North Atlantic Ocean","Blue marlin","Makaira nigricans",2010,2000,0.55,3.90179367095443
"RAM","BMARLINIO","Indian Ocean","Indo pacific blue marlin","Makaira mazara",2011,9524,1.03,1.0053431318761
"RAM","BMARLINPAC","South Pacific Ocean","Blue marlin","Makaira nigricans",2011,19459,1.29,0.72
"RAM","BNSNZ","New Zealand Shelf","Bluenose","Hyperoglyphe antarctica",2011,1209,0.408073034916234,2.5071312584881
"RAM","BOCACCBCW","Gulf of Alaska","Bocaccio","Sebastes paucispinis",2012,701.7519197,0.0718517103000191,2.73689645355504
"RAM","BOCACCSPCOAST","California Current","Bocaccio","Sebastes paucispinis",2012,1347,0.399980815956258,0.21
"RAM","BRNROCKPCOAST","California Current","Brown rockfish","Sebastes auriculatus",2012,149.9,0.961974649766513,0.65631067961165
"RAM","BRNSHRIMPGM","Gulf of Mexico","Brown shrimp","Farfantepenaeus aztecus",2014,49081.75541,12.3964837587052,0.0983552631578948
"RAM","BSBASSMATLC","Northeast U.S. Continental Shelf","Black sea bass","Centropristis striata",2014,3097,0.773667999536393,0.475365746815441
"RAM","BSBASSSATL","Southeast U.S. Continental Shelf","Black sea bass","Centropristis striata",2010,807.394472,0.76953125,1.03700791279509
"RAM","BUTTERGOMCHATT","Northeast U.S. Continental Shelf","Atlantic butterfish","Peprilus triacanthus",2012,10368.74924,1.7428095405121,0.0246913580246914
"RAM","BWHITNEA","Norwegian Sea","Blue whiting","Micromesistius poutassou",2014,1616060.277,1.71555555555556,1.196875
"RAM","CABEZNCAL","California Current","Cabezon","Scorpaenichthys marmoratus",2008,129,1.70428015564202,0.222222222222222
"RAM","CABEZORECOAST","California Current","Cabezon","Scorpaenichthys marmoratus",2008,48,2.07339449541284,0.559006211180124
"RAM","CABEZSCAL","California Current","Cabezon","Scorpaenichthys marmoratus",2008,30,2.44776119402985,0.181818181818182
"RAM","CALSCORPSCAL","California Current","California scorpionfish","Scorpaena guttata",2014,163.7755672,1.85003975292031,0.464
"RAM","CAPEIIa-V-XIV","Norwegian Sea","Capelin","Mallotus villosus",2014,801669.9902,NA,0.678449951482625
"RAM","CAPENOR","Barents Sea","Capelin","Mallotus villosus",2014,871678.4653,0.588431378801184,0.128674294177805
"RAM","CHAKESA","Benguela Current","Shallow water cape hake","Merluccius capensis",2014,62800,2.38,0.14
"RAM","CHERRCHVX","Humboldt Current","Chilean herring","Strangomera bentincki",2011,823979.3127,1.49567079734138,0.675915925310291
"RAM","CHILISPCOAST","California Current","Chilipepper","Sebastes goodei",2014,2133,1.54255319148936,0.1844
"RAM","CHROCKCPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,15.7,1.52307692307692,0.53
"RAM","CHROCKNPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,4.803567605,1.83401639344262,0.484
"RAM","CHROCKSPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,21.1,0.672932330827068,1.044
"RAM","CHSQUIDSA","Benguela Current","Cape hope squid","Loligo reynaudii",2012,6785.170679,0.704192474088829,1.3978249404502
"RAM","CHTRACCH","Humboldt Current","Chilean jack mackerel","Trachurus murphyi",2014,1924146.202,0.179423838437388,1.18758757605482
"RAM","CMACKPCOAST","California Current","Pacific chub mackerel","Scomber japonicus",2008,12619.11611,0.679977443055976,0.390288862952376
"RAM","CMACKPJPN","Kuroshio Current","Chub mackerel","Scomber japonicus",2013,355290.851,0.508085072878837,0.945992432060544
"RAM","CMACKTSST","East China Sea","Chub mackerel","Scomber japonicus",2013,325542.1507,0.450378848089864,1.07786440852997
"RAM","COBGM","Gulf of Mexico","Cobia","Rachycentron canadum",2011,1208,1.07021791767554,1.78835978835979
"RAM","COBSATLC","Southeast U.S. Continental Shelf","Cobia","Rachycentron canadum",2011,366.502336,1.29183587928465,0.422993492407809
"RAM","COD2J3KL","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2007,159440.2549,0.0494,0.241
"RAM","COD3M","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2011,23378.3564,0.856497401699767,0.693025642477351
"RAM","COD3NO","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2011,28973.38497,0.13478268956604,0.209356418248825
"RAM","COD3Pn4RS","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2014,96606.69534,0.0447224514096673,0.515219548666203
"RAM","COD3Ps","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2014,33890.47143,1.6,0.230536965709939
"RAM","COD4TVn","Scotian Shelf","Atlantic cod","Gadus morhua",2014,62862.61967,0.0425061001992109,0.0426639551707055
"RAM","COD4VsW","Scotian Shelf","Atlantic cod","Gadus morhua",2002,45295.28305,0.0621408540376934,0.0235263839111264
"RAM","COD5Zjm","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2014,5965.814161,NA,0.363636363636364
"RAM","CODBA2224","Baltic Sea","Atlantic cod","Gadus morhua",2014,23000,0.390625,3.68846153846154
"RAM","CODBA2532","Baltic Sea","Atlantic cod","Gadus morhua",2012,323632.1781,1.74603174603175,1.24333333333333
"RAM","CODFAPL","Faroe Plateau","Atlantic cod","Gadus morhua",2014,26003.89106,0.602203517415999,1.78260869565217
"RAM","CODGB","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2011,28774,0.119012517758061,1.28333333333333
"RAM","CODGOM","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2014,10043,0.0430180370903548,4.98395721925134
"RAM","CODICE","Iceland Shelf and Sea","Atlantic cod","Gadus morhua",2013,359257.5073,2.02272727272727,1.5
"RAM","CODIIIaW-IV-VIId","North Sea","Atlantic cod","Gadus morhua",2014,267310.2562,0.706666666666667,1.41935483870968
"RAM","CODIS","Celtic-Biscay Shelf","Atlantic cod","Gadus morhua",2014,4091.096717,0.456128133704735,0.378640776699029
"RAM","CODNEAR","Barents Sea","Atlantic cod","Gadus morhua",2014,758785.1056,5.47826086956522,0.7475
"RAM","CODVIa","Celtic-Biscay Shelf","Atlantic cod","Gadus morhua",2014,10789.51979,0.115,4.49700598802395
"RAM","CODVIIek","Celtic-Biscay Shelf","Atlantic cod","Gadus morhua",2014,10300,0.478640776699029,2.3257790368272
"RAM","COWCODSCAL","California Current","Cowcod","Sebastes levis",2014,69,0.861685214626391,0.0181818181818182
"RAM","CPANDMEDGSA15-16","Mediterranean Sea","Common pandora","Pagellus erythrinus",2011,174.5728493,1.0103349969645,2.4
"RAM","CPRROCKPCOAST","California Current","Copper rockfish","Sebastes caurinus",2012,196.97,1.45199776615729,0.332954545454545
"RAM","CRLOBSTERSA12","Benguela Current","West coast rock lobster","Jasus lalandii",2014,1250,0.0233496,0.78936170212766
"RAM","CRLOBSTERSA34","Benguela Current","West coast rock lobster","Jasus lalandii",2014,3870,0.0803720930232558,0.8421875
"RAM","CRLOBSTERSA56","Benguela Current","West coast rock lobster","Jasus lalandii",2014,8680,0.0380506912442396,0.623913043478261
"RAM","CRLOBSTERSA7","Benguela Current","West coast rock lobster","Jasus lalandii",2014,7050,0.0401617021276596,0.454545454545455
"RAM","CRLOBSTERSA8","Benguela Current","West coast rock lobster","Jasus lalandii",2014,6800,0.130294117647059,2.51
"RAM","CROCKPCOAST","California Current","Canary rockfish","Sebastes pinniger",2014,1226,1.364971298892,0.0512
"RAM","CROCKWCVANISOGQCI","Gulf of Alaska","Canary rockfish","Sebastes pinniger",2009,713.7922747,1.37323943661972,0.737704918032787
"RAM","CSARDCSCH","Humboldt Current","Chilean sardine","Strangomera bentincki",2014,501516.0048,1.14,0.83
"RAM","CTRACSA","Agulhas Current","Cape horse mackerel","Trachurus capensis",2012,72924.09,3.03,0.170833333333333
"RAM","CUSKVa-XIV","Greenland Sea","Tusk","Brosme brosme",2014,8433.747438,1.68269230769231,1.36923076923077
"RAM","DEEPCHAKESA","Benguela Current","Deep water cape hake","Merluccius paradoxus",2014,118900,1.06,1.02
"RAM","DEEPFLATHEADSE","Southeast Australian Shelf","Deepwater flathead","Platycephalus conatus",2014,1200.123574,1.68387036240856,0.329412453455078
"RAM","DKROCKPCOAST","California Current","Darkblotched rockfish","Sebastes crameri",2014,674,0.9296875,0.226
"RAM","DSOLEGA","Gulf of Alaska","Dover sole","Microstomus pacificus",2009,3112.016785,2.29161420297154,0.0483221476510067
"RAM","DSOLEPCOAST","California Current","Dover sole","Microstomus pacificus",2010,34757,3.47908180212941,0.129770992366412
"RAM","DUSROCKGA","Gulf of Alaska","Dusky rockfish","Sebastes variabilis",2009,3740.299445,1.93690559035027,0.545977011494253
"RAM","ESOLEHS","Gulf of Alaska","English sole","Parophrys vetulus",2001,905.2189392,1.27376189745907,0.360804814768723
"RAM","ESOLEPCOAST","California Current","English sole","Parophrys vetulus",2012,3875,NA,0.0528571428571429
"RAM","EULAPCOASTCCDU","Gulf of Alaska","Eulachon","Thaleichthys pacificus",2007,25.68712928,1.24587733816858,0.131237646246017
"RAM","EULAPCOASTFRDU","Gulf of Alaska","Eulachon","Thaleichthys pacificus",2012,112,1.18273299887871,0.00453353895410341
"RAM","EULAPCOASTNSDU","Gulf of Alaska","Eulachon","Thaleichthys pacificus",2009,26.73288203,3.05920428385296,0.000855940900763454
"RAM","FLSOLEBSAI","East Bering Sea","Flathead sole","Hippoglossoides elassodon",2010,60864.94096,2.10343531265104,0.166374269005848
"RAM","FLSOLEGA","Gulf of Alaska","Flathead sole","Hippoglossoides elassodon",2009,8873.396975,2.41800483600967,0.035966735966736
"RAM","FMEG8c9a","Iberian Coastal","Fourspotted megrim","Lepidorhombus boscii",2014,2137.941318,1.37608695652174,1.89119170984456
"RAM","GAGGM","Gulf of Mexico","Gag","Mycteroperca microlepis",2012,1027.192242,0.428187822048044,0.768518518518519
"RAM","GAGSATLC","Southeast U.S. Continental Shelf","Gag","Mycteroperca microlepis",2004,425.5603897,0.928099579625485,1.36271186440678
"RAM","GEMFISHNZ","New Zealand Shelf","Common gemfish","Rexea solandri",2006,1432.042733,1.63613820697257,0.163836168943765
"RAM","GEMFISHSE","Southeast Australian Shelf","Common gemfish","Rexea solandri",2007,1996.304542,0.249160913980859,0.221527060682164
"RAM","GHAL23KLMNO","Labrador - Newfoundland","Greenland halibut","Reinhardtius hippoglossoides",2006,35149.15235,0.382088470657457,1.78859615924152
"RAM","GHAL4RST","Labrador - Newfoundland","Greenland halibut","Reinhardtius hippoglossoides",2010,4672.097373,0.256250513741111,3.29928980718788
"RAM","GHALNEAR","Barents Sea","Greenland halibut","Reinhardtius hippoglossoides",2014,38270.74573,1.85749363271143,0.312712473091212
"RAM","GOPHERSPCOAST","California Current","Gopher rockfish","Sebastes carnatus",2004,101,2.6039603960396,0.191
"RAM","GPOCTOGA","Gulf of Alaska","Giant pacific octopus","Enteroctopus dofleini",2014,717.062635,2.37174794345386,0.764394805209749
"RAM","GRAMBERGM","Gulf of Mexico","Greater amberjack","Seriola dumerili",2012,1632.93264,0.473345413972856,1.15909090909091
"RAM","GRAMBERSATLC","Southeast U.S. Continental Shelf","Greater amberjack","Seriola dumerili",2006,909.45,1.0979381443299,0.298662775738561
"RAM","GRNSTROCKPCOAST","California Current","Greenstriped rockfish","Sebastes elongatus",2009,803,2.81510544384502,0.00439882697947214
"RAM","GRSHRIMPMEDGSA10","Mediterranean Sea","Giant red shrimp","Aristaeomorpha foliacea",2014,408.2609963,1.01225610663168,1.39692307692308
"RAM","GRSHRIMPMEDGSA18-19","Mediterranean Sea","Giant red shrimp","Aristaeomorpha foliacea",2014,860.4010046,1.8189150352736,1.10238095238095
"RAM","GRSHRIMPMEDGSA9","Mediterranean Sea","Giant red shrimp","Aristaeomorpha foliacea",2014,66.16636688,1.33482702206354,0.26078431372549
"RAM","GRSPROCKNCAL","California Current","Greenspotted rockfish","Sebastes chlorostictus",2010,58.8,1.21641791044776,0
"RAM","GRSPROCKSCAL","California Current","Greenspotted rockfish","Sebastes chlorostictus",2010,55.9,1.59444444444444,0.116666666666667
"RAM","GSTRGZRSTA7","New Zealand Shelf","Giant stargazer","Kathetostoma giganteum",2007,608,1.43,1.09773552219206
"RAM","GTRIGGM","Gulf of Mexico","Gray triggerfish","Balistes capriscus",2013,446.5205007,0.544144144144144,0.69281045751634
"RAM","HAD3LNO","Labrador - Newfoundland","Haddock","Melanogrammus aeglefinus",2013,2925.90428,2.14921623364609,0.00333948170207409
"RAM","HAD4X5Y","Northeast U.S. Continental Shelf","Haddock","Melanogrammus aeglefinus",2013,17344.10318,NA,0.262987645587086
"RAM","HAD5Y","Northeast U.S. Continental Shelf","Haddock","Melanogrammus aeglefinus",2014,1083,2.22799048237076,0.549145299145299
"RAM","HADFAPL","Faroe Plateau","Haddock","Melanogrammus aeglefinus",2014,35000,0.481547957798888,2.15151515151515
"RAM","HADGB","Northeast U.S. Continental Shelf","Haddock","Melanogrammus aeglefinus",2014,24900,1.38504155124654,0.615384615384615
"RAM","HADICE","Iceland Shelf and Sea","Haddock","Melanogrammus aeglefinus",2014,84928.19168,1.67777777777778,0.6725
"RAM","HADNEAR","Barents Sea","Haddock","Melanogrammus aeglefinus",2014,215805.8509,8.45,0.428571428571429
"RAM","HADROCK","Celtic-Biscay Shelf","Haddock","Melanogrammus aeglefinus",2014,9000,0.256862745098039,3.18
"RAM","HADVIIb-k","Celtic-Biscay Shelf","Haddock","Melanogrammus aeglefinus",2014,20136.57983,2.49,1.325
"RAM","HAKEMEDGSA1-7","Mediterranean Sea","Hake","Merluccius merluccius",2014,7562.576858,1.39252419854916,2.87179487179487
"RAM","HAKEMEDGSA19","Mediterranean Sea","Hake","Merluccius merluccius",2014,1092.765948,1.79754263974402,4.86111111111111
"RAM","HAKEMEDGSA7","Mediterranean Sea","Hake","Merluccius merluccius",2012,2271.695574,0.265026476406115,16.7272727272727
"RAM","HAKEMEDGSA9-11","Mediterranean Sea","Hake","Merluccius merluccius",2014,3383.789015,1.07237354612878,5.25
"RAM","HAKENRTN","Celtic-Biscay Shelf","Hake","Merluccius merluccius",2014,106752.4857,6.02222222222222,0.821428571428571
"RAM","HAKESOTH","Iberian Coastal","Hake","Merluccius merluccius",2014,17849.16345,1.54954954954955,3.136
"RAM","HERR4RFA","Labrador - Newfoundland","Herring","Clupea harengus",2002,8808.330395,1.51312964868069,0.337546101234243
"RAM","HERR4RSP","Labrador - Newfoundland","Herring","Clupea harengus",2002,12170.53205,0.822305193956309,0.792004718824282
"RAM","HERR4TFA","Scotian Shelf","Herring","Clupea harengus",2013,69893.64993,0.9062881639875,0.543068251268441
"RAM","HERR4TSP","Scotian Shelf","Herring","Clupea harengus",2013,20399.80111,0.377354109133747,0.22083805044873
"RAM","HERR4VWX","Scotian Shelf","Herring","Clupea harengus",2012,131890.0602,1.97846096679375,0.256967666183451
"RAM","HERRCC","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2014,12613.79719,0.802929796281327,0.0554285705479931
"RAM","HERRIsum","Iceland Shelf and Sea","Herring","Clupea harengus",2014,107089.3369,1.54212454212454,1.25909090909091
"RAM","HERRNIRS","Celtic-Biscay Shelf","Herring","Clupea harengus",2014,19292.24497,2.05392612627842,0.639097744360902
"RAM","HERRNS-IIIa-VIId","North Sea","Herring","Clupea harengus",2014,583070.9329,1.60714285714286,0.738461538461539
"RAM","HERRNWATLC","Northeast U.S. Continental Shelf","Herring","Clupea harengus",2014,77247,2.00228189429366,0.666666666666667
"RAM","HERRPRD","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2014,14106.65949,0.737138146681933,0.563916014216319
"RAM","HERRPWS","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2006,7111.250341,0.213760007741226,0
"RAM","HERRQCI","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2014,9126.319991,1.4117540762046,0
"RAM","HERRRIGA","Baltic Sea","Herring","Clupea harengus",2014,28735.84159,2.15,0.81875
"RAM","HERRSIRS","Celtic-Biscay Shelf","Herring","Clupea harengus",2014,23196.12506,1.55081967213115,0.9
"RAM","HERRSOG","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2014,29941.91169,1.39051239942549,0.452182871296819
"RAM","HERRTOG","East Bering Sea","Pacific herring","Clupea pallasii pallasii",2010,42397.48641,1.95852688151273,0.288306543662388
"RAM","HERRVIa","Celtic-Biscay Shelf","Herring","Clupea harengus",2013,91953.12976,1.05066666666667,1.34
"RAM","HERRVIaVIIbc","Celtic-Biscay Shelf","Herring","Clupea harengus",2014,63751.55866,0.414634146341463,0.775
"RAM","HERRWCVANI","Gulf of Alaska","Pacific herring","Clupea pallasii pallasii",2014,12522.99864,0.539159758732278,0
"RAM","HMACKIIa-IVa-Vb-VIa-VII-VIII","North Sea","Horse mackerel","Trachurus trachurus",2014,277614.1016,1.05201033800357,1.0462962962963
"RAM","HMACKIXa","Iberian Coastal","Horse mackerel","Trachurus trachurus",2014,49332.49737,2.90055248618785,0.422727272727273
"RAM","HMACKWA","Canary Current","Horse mackerel","Trachurus trachurus",2010,97254.46001,0.900969920618661,2.32258064516129
"RAM","HOKIENZ","New Zealand Shelf","Hoki","Macruronus novaezelandiae",2014,73100,1.56118257607524,0.29
"RAM","HOKIWNZ","New Zealand Shelf","Hoki","Macruronus novaezelandiae",2014,119800,1.13989516839449,0.548
"RAM","JAMBERJPN","Kuroshio Current","Japanese amberjack","Seriola quinqueradiata",2013,134880.3277,0.335920093007876,2.05013512254217
"RAM","JANCHOPJPN","Kuroshio Current","Japanese anchovy","Engraulis japonicus",2013,265609.5972,1.1690314530682,0.551111111111111
"RAM","JANCHOSETO","Kuroshio Current","Japanese anchovy","Engraulis japonicus",2013,69571.404,1.37049124378746,0.747794896535811
"RAM","JANCHOTSST","East China Sea","Japanese anchovy","Engraulis japonicus",2013,149715.1118,0.210956770089576,1.31270127176464
"RAM","JCSQUIDJPNAR","Kuroshio Current","Japanese flying squid","Todarodes pacificus",2014,300926.458,3.48291076486202,0.224215246636771
"RAM","JCSQUIDJPNWR","Kuroshio Current","Japanese flying squid","Todarodes pacificus",2014,222668.703,1.69649795822451,0.537382497213817
"RAM","JMACKPJPN","Kuroshio Current","Japanese jack mackerel","Trachurus japonicus",2013,70940.57896,0.246140651801029,1.32468766648588
"RAM","JMACKTSST","East China Sea","Japanese jack mackerel","Trachurus japonicus",2013,175541.5181,0.688224176185389,0.821467688937569
