"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","year","msy_mt","bmsy_mt","umsy","bbmsy","uumsy","biomass_mt","catch_mt","er","r_est","k_mt_est","msy_mt_est"
"AMPL23K","American plaice Labrador - NE Newfoundland","Canada","Canada East Coast","Labrador - Newfoundland","Labrador - NE Newfoundland","Canada-DFO-23K","Hippoglossoides platessoides","American plaice",2011,3862.178054,58630.21411,0.065873511,0.494625517580256,0.00889897756553046,29000,17,0.000586206896551724,0.0790482132,145890.734374195,3862.17805410744
"AMPL4VWX","American plaice Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Hippoglossoides platessoides","American plaice",2009,5113,49329.43384,0.113157541,0.726747353331604,0.0448640314882795,35850.0354856679,182,0.00507670348256028,0.1357890492,122747.416812749,5581.99743225659
"AMPL5YZ","American plaice Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Hippoglossoides platessoides","American plaice",2014,2675,34842.73248,0.076773542,0.839246204318303,0.612244897959184,29241.6309843324,1330,0.0454830991032139,0.0921282504,86699.8680846336,2674.99998544804
"ANCHIXa","Anchovy Portugese Waters -East","multinational","European Union","Iberian Coastal","Portugese Waters -East","multinational-ICES-IXa","Engraulis encrasicolus","Anchovy",2014,11703.99346,17989.99715,0.650583397,2.04823409206334,0.465735832480828,36700.7192633385,10200,0.277923708437755,0.7807000764,44764.869708288,11703.9934578673
"ANCHMEDGSA1","Anchovy Northern Alboran Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Alboran Sea","multinational-GFCM-GSA1","Engraulis encrasicolus","Anchovy",2009,354.3976402,1754.034075,0.202047181,0.482264358274515,2.32352290329719,845.908117463784,292,0.345191154892188,0.2424566172,4364.598069504,354.397640231693
"ANCHMEDGSA16","Anchovy South of Sicily","multinational","Mediterranean-Black Sea","Mediterranean Sea","South of Sicily","multinational-GFCM-GSA16","Engraulis encrasicolus","Anchovy",2011,2359,14152,0.16669022,0.669,2.76835216898324,9470,4370,0.461457233368532,0.200028264,35214.70464,2358.99999344
"ANCHMEDGSA17-18","Anchovy Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Adriatic Sea (GSA 17,18)","multinational-GFCM-GSA17-18","Engraulis encrasicolus","Anchovy",2014,11507.02832,500148.6628,0.023007216,1.13966114956491,2.60416666666667,570000,31100,0.0545614035087719,0.0276086592,1244529.9206185,11507.0283171508
"ANCHMEDGSA22","Anchovy Aegean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Aegean Sea","multinational-GFCM-GSA22","Engraulis encrasicolus","Anchovy",2008,20384.12226,25395.35808,0.802671189,1.53634378642001,0.782322210978478,39016.000586977,24500,0.627947499267205,0.9632054268,63191.7774176256,20384.1222651544
"ANCHMEDGSA29","Anchovy Black Sea","multinational","Mediterranean-Black Sea","Black Sea","Black Sea","multinational-GFCM-GSA29","Engraulis encrasicolus","Anchovy",2014,278390.5644,847562.3479,0.328460278,0.776659651495832,1.88571428571429,658267.477714633,157000,0.238504871219024,0.3941523336,2109006.34152653,278390.564413567
"ANCHMEDGSA6","Anchovy Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Spain","multinational-GFCM-GSA6","Engraulis encrasicolus","Anchovy",2014,12649.93968,45440,0.278387757,1.04093309859155,0.894991100940758,47300,16800,0.355179704016913,0.3340653084,113069.2608,12649.93967808
"ANCHMEDGSA7","Anchovy Gulf of Lions","multinational","Mediterranean-Black Sea","Mediterranean Sea","Gulf of Lions","multinational-GFCM-GSA7","Engraulis encrasicolus","Anchovy",2011,12690.02444,33231.9789,0.381861835,1.08931219861842,0.128043766469381,36200,1770,0.0488950276243094,0.458234202,82691.797736448,12690.0244434353
"ANCHMEDGSA9","Anchovy Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Engraulis encrasicolus","Anchovy",2014,4109.756567,14001.55837,0.293521368,0.949894265233849,2.59615384615385,13300,3390,0.254887218045113,0.3522256416,34840.3577232384,4109.75656689425
"ANCHOSA","Anchovy South Africa","South Africa","South Africa","Agulhas Current","South Africa","South Africa-DETMCM-SA","Engraulis encrasicolus","Anchovy",2014,455853.677,2479412.352,0.183855532,1.79478012054366,0.244757389187506,4450000,240000,0.0539325842696629,0.2206266384,6169571.34372864,455853.677024331
"ANGLMEDGSA5","Black bellied angler Balearic Island","multinational","Mediterranean-Black Sea","Mediterranean Sea","Balearic Island","multinational-GFCM-GSA5","Lophius budegassa","Black bellied angler",2013,19.0185877,40.56095709,0.468889027,0.562552029220156,7.6375,22.8176487154329,11.1,0.486465548594953,0.5626668324,100.928640746189,19.0185877041189
"ANGLMEDGSA6","Black bellied angler Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","Northern Spain","multinational-GFCM-GSA6","Lophius budegassa","Black bellied angler",2013,852.6034871,1073.572792,0.794173896,1.31015605030041,6.49285714285714,1406.54788933644,1050,0.746508531960013,0.9530086752,2671.39264978944,852.603486862238
"APOLLNSJ","Walleye pollock Sea of Japan North","Japan","Japan","Sea of Japan","Sea of Japan North","Japan-FAJ-NSJ","Gadus chalcogrammus","Walleye pollock",2013,45206.50965,619267.2555,0.073,0.108680924912147,1.4113306832156,95800,9870,0.103027139874739,0.0876,1540935.09720576,45206.5096515
"APOLLPJPN","Walleye pollock Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Gadus chalcogrammus","Walleye pollock",2013,176347.6986,1013492.521,0.174,1.51903403024479,0.985221674876845,910000,156000,0.171428571428571,0.2088,2521893.70985472,176347.698654
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Atheresthes stomias","Arrowtooth flounder",2014,29647.06181,330978.0338,0.089574107,2.7179228480537,NA,878000,19100,0.021753986332574,0.1074889284,823579.261065216,29647.0618142508
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Atheresthes stomias","Arrowtooth flounder",2014,22843.04134,608391.8704,0.037546592,3.31130595027282,NA,2070000,36300,0.017536231884058,0.0450559104,1513873.65895373,22843.0413340257
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Atheresthes stomias","Arrowtooth flounder",2014,1443.022043,31789.40961,0.045393169,3.08291804418484,0.22,79100,1440,0.018204804045512,0.0544718028,79102.2237207552,1443.02204283695
"ARGANCHONARG","Argentine anchoita Northern Argentina","Argentina","South America","Patagonian Shelf","Northern Argentina","Argentina-CFP-ARG-N","Engraulis anchoita","Argentine anchoita",2014,222163,1240264.88,0.148911319,1.82022471910112,0.0255102040816327,2130000,13800,0.00647887323943662,0.1786935828,3086175.9062016,184689.479190177
"ARGHAKENARG","Argentine hake Northern Argentina","Argentina","South America","Patagonian Shelf","Northern Argentina","Argentina-CFP-ARG-N","Merluccius hubbsi","Argentine hake",2014,146012.6937,751954.2014,0.194177642,0.229841730984044,0.965699208443272,146000,41800,0.286301369863014,0.2330131704,1871102.67842765,146012.693719845
"ARGHAKESARG","Argentine hake Southern Argentina","Argentina","South America","Patagonian Shelf","Southern Argentina","Argentina-CFP-ARG-S","Merluccius hubbsi","Argentine hake",2014,522792.7514,2592998.213,0.201617089,0.386946386946387,1.15942028985507,909000,299000,0.328932893289329,0.2419405068,6452209.31337216,522792.751487262
"ATBTUNAEATL","Atlantic bluefin tuna Eastern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Eastern Atlantic","multinational-ICCAT-EATL","Thunnus thynnus","Atlantic bluefin tuna",2014,40252.1,1117775.701,0.036010892,NA,0.34,1901178.78126604,3920,0.00206187868212456,0.0432130704,2781383.63231232,40252.1000489353
"ATBTUNAWATL","Atlantic bluefin tuna Western Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Western Atlantic","multinational-ICCAT-WATL","Thunnus thynnus","Atlantic bluefin tuna",2014,2661.05624,43765.83912,0.06080213,NA,0.88,85412.069431966,1630,0.0190839539521795,0.072962556,108903.412799078,2661.05623973333
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Southern Grand Banks","Canada-DFO-3NOPs4VWX5Zc","Hippoglossus hippoglossus","Atlantic halibut",2013,2132.880272,22741.43784,0.093788277,NA,NA,31800,2290,0.0720125786163522,0.1125459324,56587.9746060288,2132.8802715162
"ATHAL5YZ","Atlantic halibut Gulf of Maine / Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Hippoglossus hippoglossus","Atlantic halibut",2007,3500,49000,0.071428571,0.026530612244898,0.91000000546,1300,84.2,0.0647692307692308,0.0857142852,121927.68,3499.999979
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Pleurogrammus monopterygius","Atka mackerel",2014,70235.77196,382443.6013,0.183650012,1.49961667101949,NA,581000,30900,0.053184165232358,0.2203800144,951642.061986816,70235.7719680682
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Micropogonias undulatus","Atlantic croaker",2002,6648.211508,29164.63397,0.227954567,2.77547352412554,0.282051282051282,80945.6694225348,16300,0.201369636155757,0.2735454804,72570.9420002304,6648.21150834484
"ATOOTHFISHRS","Antarctic toothfish Ross Sea","multinational","Other","Southern Ocean","Ross Sea","multinational-CCAMLR-RS","Dissostichus mawsoni","Antarctic toothfish",2007,3105.3982,18802.1604,0.165161875,4.03145161978301,0.246424908896197,75800,3080,0.0406332453825858,0.19819425,46785.791766528,3105.40006571475
"AUROCKPCOAST","Aurora rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes aurora","Aurora rockfish",2012,72,2673.718669,0.026928787,1.59047619047619,0.614,4330,42.7,0.00986143187066975,0.0323145444,6653.06763844608,72.0000005354245
"AUSSALMONNZ","Australian salmon New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Arripis trutta","Australian salmon",2013,2406.263949,19329.7365,0.124485088,1.53846153846154,0.31,29738.0561511944,1680,0.0564932688087794,0.1493821056,48098.56992768,2406.26394921931
"BGRDRNSWWA","Blue grenadier New South Wales to Western Australia","Australia","Australia","South West Australian Shelf","New South Wales to Western Australia","Australia-AFMA-NSWWA","Macruronus novaezelandiae","Blue grenadier",2014,5506.026156,34649.52316,0.158906261,1.41940013768987,0.156657969428613,95066.4,1251,0.0131592234480321,0.1906875132,86219.1014694912,5506.0261707885
"BIGEYEATL","Bigeye tuna Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","Atlantic Ocean","multinational-ICCAT-ATL","Thunnus obesus","Bigeye tuna",2014,65286.94671,451459.7572,0.144612993,0.744,1.21,426000,78200,0.183568075117371,0.1735355916,1123376.3430359,65286.9467077453
"BIGEYECWPAC","Bigeye tuna Central Western Pacific Ocean","multinational","Pacific Ocean","North Pacific Ocean","Central Western Pacific Ocean","multinational-WCPFC-CWPAC","Thunnus obesus","Bigeye tuna",2014,3263.427693,642353.539,0.005080423,1.62,0.581,1500000,159000,0.106,0.0060965076,1598381.15816448,3263.427693667
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","multinational","Pacific Ocean","South Pacific Ocean","Eastern Pacific","multinational-IATTC-EPAC","Thunnus obesus","Bigeye tuna",2014,106201,109699.4392,0.968108869,0.841,0.878,89877.7994611654,96000,1.06811693850471,1.1617306428,272967.308550144,106201.000013846
"BIGEYEIO","Bigeye tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Thunnus obesus","Bigeye tuna",2014,104000,807569.7693,0.128781443,1.36,0.687,1074673.74694411,90500,0.0842116039936226,0.1545377316,2009492.00834458,104000.000213631
"BIGHTREDSE","Bight redfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Centroberyx gerrardi","Bight redfish",2014,624.7468834,3122.014238,0.200110197,2.81851219706901,0.195186650810038,11900,238,0.02,0.2401322364,7768.57046870016,624.746884202985
"BKCDLFENI","Black cardinalfish East coast of North Island","New Zealand","New Zealand","New Zealand Shelf","East coast of North Island","New Zealand-MFish-ENI","Epigonus telescopus","Black cardinalfish",2009,666,6054.545455,0.11,0.25276505418389,1.07272727272727,4544.96277532753,980,0.215623328164525,0.132,15065.6465465856,666.00000005
"BKINGCRABSMI","Blue king crab Saint Matthews Island","USA","US Alaska","East Bering Sea","Saint Matthews Island","USA-NMFS-SMI","Paralithodes platypus","Blue king crab",2008,1150.867925,3947.914212,0.291512901,1.45343631740423,0,5738.04189344426,0,0,0.3498154812,9823.67389200384,1150.86792483925
"BLACKGROUPERGMSATL","Black grouper Gulf of Mexico and South Atlantic","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico and South Atlantic","USA-NMFS-GMSATL","Mycteroperca bonaci","Black grouper",2008,488.993336,5827.397939,0.08391281,1.40023163406287,0.5,8159.70693822402,138,0.0169123721041428,0.100695372,14500.4308395725,488.993336049699
"BLACKOREOPR","Black oreo Pukaki Rise","New Zealand","New Zealand","New Zealand Shelf","Pukaki Rise","New Zealand-MFish-PR","Allocyttus niger","Black oreo",2009,670,7444.444444,0.09,0.814622868403494,1.53333333333333,46833.5338656742,3350,0.0715299428313122,0.108,18524.1599988941,669.99999996
"BLACKOREOWECR","Black oreo West end of Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","West end of Chatham Rise","New Zealand-MFish-WECR","Allocyttus niger","Black oreo",2007,1947,63082.10004,0.03086454,0.991723484157947,0.395275614021787,144000,1770,0.0122916666666667,0.037037448,156968.451171533,1946.99999996858
"BLACKROCKCAL","Black rockfish California","USA","US West Coast","California Current","California","USA-NMFS-CAL","Sebastes melanops","Black rockfish",2014,343,4291.036748,0.079934063,0.774117647058824,1.068,5610,380,0.0677361853832442,0.0959208756,10677.4725607834,343.000001749947
"BLACKROCKORECOAST","Black rockfish Oregon Coast","USA","US West Coast","California Current","Oregon Coast","USA-NMFS-ORECOAST","Sebastes melanops","Black rockfish",2014,518,5587.903016,0.092700249,1.52396085370698,0.834,8140,485,0.0595823095823096,0.1112402988,13904.4908327731,518.000000971051
"BLACKROCKWASH","Black rockfish Washington","USA","US West Coast","California Current","Washington","USA-NMFS-WASH","Sebastes melanops","Black rockfish",2014,274.3377948,5506.537471,0.049820381,1.0454850534359,1.072,5690,356,0.0625659050966608,0.0597844572,13702.0273198387,274.337794795996
"BLKMARLINIO","Black marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Istiompax indica","Black marlin",2011,8605,29735,0.289389608,1.17,1.11533573235854,34700,11200,0.322766570605187,0.3472675296,73990.1952,8604.99999388
"BLSHARNPAC","Blue shark North Pacific Ocean","Multinational","Pacific Ocean","North Pacific Ocean","North Pacific Ocean","multinational-ISC-NPAC","Prionace glauca","Blue shark",2011,72123,320546.6667,0.225,1.62,0.358,1614277.20212239,41300,0.0255842057025276,0.27,797622.681682944,72123.0000075
"BLTILESATLC","Blueline tilefish Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Caulolatilus microps","Blueline tilefish",2010,102.7512886,356.5701924,0.288165671,0.859486618004866,3.53311258278146,306.467308736263,199,0.649335163416251,0.3457988052,887.260741152768,102.751288751545
"BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Southeast U.S. Continental Shelf","Atlantic Coast","USA-NMFS-ATLC","Pomatomus saltatrix","Bluefish",2014,13967,127682.7047,0.109388347,0.777681878663646,0.923529411764706,94300,9820,0.104135737009544,0.1312660164,317715.427759104,13967.0000076221
"BLUEROCKCAL","Blue rockfish California","USA","US West Coast","California Current","California","USA-NMFS-CAL","Sebastes mystinus","Blue rockfish",2007,275,4866.064,0.056513848,0.74849578820698,1.19106699751861,5450,263,0.048256880733945,0.0678166176,12108.32437248,275.000001254272
"BMACKECS","Spotted mackerel East China Sea","Japan","Japan","East China Sea","East China Sea","Japan-FAJ-ECS","Scomber australasicus","Spotted mackerel",2013,54757.32305,140403.3924,0.39,0.883422830417461,0.968235744355146,134000,50600,0.377611940298507,0.468,349368.569376768,54757.323036
"BMACKPJPN","Spotted mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Scomber australasicus","Spotted mackerel",2013,145655.7838,369684.7305,0.394,3.36549981484305,0.345953635746386,785000,107000,0.136305732484076,0.4728,919893.90859776,145655.783817
"BMARLINATL","Blue marlin Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","Atlantic Ocean","multinational-ICCAT-ATL","Makaira nigricans","Blue marlin",2010,2000,32514.94726,0.061510172,0.55,3.90179367095443,14300,3430,0.23986013986014,0.0738122064,80907.5935660032,1999.99999853353
"BMARLINIO","Indo Pacific blue marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Makaira mazara","Indo pacific blue marlin",2011,9524,96913,0.098273709,1.03,1.0053431318761,99900,9870,0.0987987987987988,0.1179284508,241150.55616,9523.999960317
"BMARLINPAC","Blue marlin Pacific Ocean","Multinational","Pacific Ocean","South Pacific Ocean","Pacific Ocean","multinational-ISC-PAC","Makaira nigricans","Blue marlin",2011,19459,38175.72194,0.50972186,1.29,0.72,49101.8700690457,17400,0.354365322044407,0.611666232,94993.4124177408,19458.9999940996
"BNSNZ","Bluenose New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand","New Zealand-MFish-NZ","Hyperoglyphe antarctica","Bluenose",2011,1209,23867.09993,0.050655505,0.408073034916234,2.5071312584881,16837.5935395285,2000,0.118781819700347,0.060786606,59388.9820978176,1208.99999983961
"BOCACCBCW","Bocaccio British Columbia Waters","Canada","Canada West Coast","Gulf of Alaska","British Columbia Waters","Canada-DFO-BCW","Sebastes paucispinis","Bocaccio",2012,701.7519197,26165,0.026820253,0.0718517103000191,2.73689645355504,1880,138,0.0734042553191489,0.0321843036,65106.8928,701.751919745
"BRNROCKPCOAST","Brown rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes auriculatus","Brown rockfish",2012,149.9,1455.339806,0.103,0.961974649766513,0.65631067961165,1400,94.7,0.0676428571428571,0.1236,3621.35114606592,149.900000018
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Centropristis striata","Black sea bass",2014,3097,17256,0.179473806,0.773667999536393,0.475365746815441,13350.415,1139,0.0853156999239349,0.2153685672,42938.44992,3096.999996336
"BSBASSSATL","Black sea bass South Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","South Atlantic","USA-NMFS-SATL","Centropristis striata","Black sea bass",2010,807.394472,5399,0.148453417,0.76953125,1.03700791279509,3800,585,0.153947368421053,0.1781441004,13434.43968,801.499998383
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","USA","US East Coast","Northeast U.S. Continental Shelf","Gulf of Maine / Cape Hatteras","USA-NMFS-5YCHATT","Peprilus triacanthus","Atlantic butterfish",2012,10368.74924,57969.77588,0.178864746,1.7428095405121,0.0246913580246914,101030.278459208,1710,0.0169256189934231,0.2146376952,144247.352717722,10368.7492384531
"CABEZNCAL","Cabezon Northern California","USA","US West Coast","California Current","Northern California","USA-NMFS-NCAL","Scorpaenichthys marmoratus","Cabezon",2008,129,716.6666667,0.18,1.70428015564202,0.222222222222222,506,39,0.0770750988142292,0.216,1783.29600008294,129.000000006
"CABEZORECOAST","Cabezon Oregon Coast","USA","US West Coast","California Current","Oregon Coast","USA-NMFS-ORECOAST","Scorpaenichthys marmoratus","Cabezon",2008,48,300,0.16,2.07339449541284,0.559006211180124,483,43.2,0.0894409937888199,0.192,746.496,48
"CABEZSCAL","Cabezon Southern California","USA","US West Coast","California Current","Southern California","USA-NMFS-SCAL","Scorpaenichthys marmoratus","Cabezon",2008,30,181.8181818,0.165,2.44776119402985,0.181818181818182,758,10,0.0131926121372032,0.198,452.421818136576,29.999999997
"CALSCORPSCAL","California scorpionfish Southern California","USA","US West Coast","California Current","Southern California","USA-NMFS-SCAL","Scorpaena guttata","California scorpionfish",2014,163.7755672,893.3408075,0.183329325,1.85003975292031,0.464,1580,124,0.0784810126582278,0.21999519,2222.9177981184,163.77556723393
"CAPENOR","Capelin Barents Sea","multinational","Europe non EU","Barents Sea","Barents Sea","multinational-ICES-I","Mallotus villosus","Capelin",2014,871678.4653,3313895.333,0.263037416,0.588431378801184,0.128674294177805,1950000,66000,0.0338461538461538,0.3156448992,8246032.03501056,871678.46528678
"CHERRCHVX","Chilean herring Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Strangomera bentincki","Chilean herring",2011,823979.3127,2520608.149,0.326897028,1.49567079734138,0.675915925310291,3770000,833000,0.220954907161804,0.3922764336,6272079.66931968,823979.312660681
"CHILISPCOAST","Chilipepper Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes goodei","Chilipepper",2014,2133,25083.05681,0.075810973,1.54255319148936,0.1844,35400,325,0.00918079096045198,0.0909731676,62414.6719214592,1901.57094258038
"CHROCKCPCOAST","China rockfish Central Pacific Coast","USA","US West Coast","California Current","Central Pacific Coast","USA-NMFS-CPCOAST","Sebastes nebulosus","China rockfish",2014,15.7,272.1700781,0.046936925,1.52307692307692,0.53,378,7.04,0.0186243386243386,0.05632431,677.246248737792,12.7748265430238
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Sebastes nebulosus","China rockfish",2014,4.803567605,111.1678995,0.043210024,1.83401639344262,0.484,183,3.02,0.0165027322404372,0.0518520288,276.62130768384,4.80356760542459
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Sebastes nebulosus","China rockfish",2014,21.1,342.9096419,0.073412311,0.672932330827068,1.044,272,12.4,0.0455882352941177,0.0880947732,853.268920132608,25.1737892760614
"CHSQUIDSA","Cape Hope squid South Africa","South Africa","South Africa","Benguela Current","South Africa","South Africa-DETMCM-SA","Loligo reynaudii","Cape hope squid",2012,6785.170679,25703.2,0.263981554,0.704192474088829,1.3978249404502,18100,6690,0.369613259668508,0.3167778648,63957.786624,6785.1706787728
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","multinational","South America","Humboldt Current","Chilean EEZ and offshore","multinational-SPRFMO-CH","Trachurus murphyi","Chilean jack mackerel",2014,1924146.202,24132997.95,0.079730923,0.179423838437388,1.18758757605482,4330035.1259752,410000,0.0946874535821833,0.0956771076,60050621.458944,1924146.20131061
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Scomber japonicus","Pacific chub mackerel",2014,12619.11611,198391.6372,0.063607097,NA,NA,97400,10100,0.103696098562628,0.0763285164,493661.878677504,12619.1161113692
"CMACKPJPN","Chub mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Pacific Coast of Japan","Japan-FAJ-PJPN","Scomber japonicus","Chub mackerel",2013,355290.851,2077724.275,0.171,0.508085072878837,0.945992432060544,1360000,220000,0.161764705882353,0.2052,5170042.867968,355290.851025
